ASVS Item #;Requirement;Level 1;Level 2;Level 3;Test Complete?;Result
V2.1;Verify all pages and resources require authentication except those specifically intended to be public (Principle of complete mediation).;Y;Y;Y;;
V2.2;Verify all password fields do not echo the user�s password when it is entered.;Y;Y;Y;;
V2.4;Verify all authentication controls are enforced on the server side.;Y;Y;Y;;
V2.5;Verify all authentication controls (including libraries that call external authentication services) have a centralized implementation.;N;N;Y;;
V2.6;Verify all authentication controls fail securely to ensure attackers cannot log in.;Y;Y;Y;;
V2.7;Verify password entry fields allow or encourage the use of passphrases, and do not prevent long passphrases or highly complex passwords being entered, and provide a sufficient minimum strength to protect against the use of commonly chosen passwords.;N;Y;Y;;
V2.8;Verify all account identity authentication functions (such as registration, update profile, forgot username, forgot password, disabled / lost token, help desk or IVR) that might regain access to the account are at least as resistant to attack as the primary authentication mechanism.;N;Y;Y;;
V2.9;Verify users can safely change their credentials using a mechanism that is at least as resistant to attack as the primary authentication mechanism.;N;Y;Y;;
V2.12;Verify that all authentication decisions are logged. This should include requests with missing required information, needed for security investigations.;N;Y;Y;;
V2.13;Verify that account passwords are salted using a salt that is unique to that account (e.g., internal user ID, account creation) and use bcrypt, scrypt or PBKDF2 before storing the password.;N;Y;Y;;
V2.16;Verify that credentials, and all other identity information handled by the application(s), do not traverse unencrypted or weakly encrypted links.;Y;Y;Y;;
V2.17;Verify that the forgotten password function and other recovery paths do not reveal the current password and that the new password is not sent in clear text to the user.;Y;Y;Y;;
V2.18;Verify that username enumeration is not possible via login, password reset, or forgot account functionality.;Y;Y;Y;;
V2.19;Verify there are no default passwords in use for the application framework or any components used by the application (such as �admin/password�).;Y;Y;Y;;
V2.20;Verify that a resource governor is in place to protect against vertical (a single account tested against all possible passwords) and horizontal brute forcing (all accounts tested with the same password e.g. �Password1�). A correct credential entry should incur no delay. Both these governor mechanisms should be active simultaneously to protect against diagonal and distributed attacks.;N;Y;Y;;
V2.21;Verify that all authentication credentials for accessing services external to the application are encrypted and stored in a protected location (not in source code).;N;Y;Y;;
V2.22;Verify that forgot password and other recovery paths send a link including a time-limited activation token rather than the password itself. Additional authentication based on soft-tokens (e.g. SMS token, native mobile applications, etc.) can be required as well before the link is sent over.;N;Y;Y;;
V2.23;Verify that forgot password functionality does not lock or otherwise disable the account until after the user has successfully changed their password. This is to prevent valid users from being locked out. ;N;Y;Y;;
V2.24;"Verify that there are no shared knowledge questions/answers (so called ""secret"" questions and answers).";N;Y;Y;;
V2.25;Verify that the system can be configured to disallow the use of a configurable number of previous passwords.;N;Y;Y;;
V2.26;Verify re-authentication, step up or adaptive authentication, SMS or other two factor authentication, or transaction signing is required before any application-specific sensitive operations are permitted as per the risk profile of the application.;N;N;Y;;
V3.1;Verify that the framework�s default session management control implementation is used by the application.;Y;Y;Y;;
V3.2;Verify that sessions are invalidated when the user logs out.;Y;Y;Y;;
V3.3;Verify that sessions timeout after a specified period of inactivity.;Y;Y;Y;;
V3.4;Verify that sessions timeout after an administratively-configurable maximum time period regardless of activity (an absolute timeout).;N;Y;Y;;
V3.5;Verify that all pages that require authentication to access them have logout links.;Y;Y;Y;;
V3.6;"Verify that the session id is never disclosed other than in cookie headers; particularly in URLs, error messages, or logs. This includes verifying that the application does not support URL rewriting of session cookies.";Y;Y;Y;;
V3.7;Verify that the session id is changed on login to prevent session fixation.;N;Y;Y;;
V3.8;Verify that the session id is changed upon re-authentication.;N;Y;Y;;
V3.10;Verify that only session ids generated by the application framework are recognized as valid by the application.;N;Y;Y;;
V3.11;Verify that authenticated session tokens are sufficiently long and random to withstand session guessing attacks.;N;Y;Y;;
V3.12;Verify that authenticated session tokens using cookies have their path set to an appropriately restrictive value for that site. The domain cookie attribute restriction should not be set unless for a business requirement, such as single sign on.;N;Y;Y;;
V3.14;"Verify that authenticated session tokens using cookies sent via HTTP, are protected by the use of ""HttpOnly"".";Y;Y;Y;;
V3.15;"Verify that authenticated session tokens using cookies are protected with the ""secure"" attribute and a strict transport security header (such as Strict-Transport-Security: max-age=60000; includeSubDomains) are present.";Y;Y;Y;;
V3.16;Verify that the application does not permit duplicate concurrent user sessions, originating from different machines. ;N;Y;Y;;
V4.1;Verify that users can only access secured functions or services for which they possess specific authorization.;Y;Y;Y;;
V4.2;Verify that users can only access secured URLs for which they possess specific authorization.;Y;Y;Y;;
V4.3;Verify that users can only access secured data files for which they possess specific authorization.;Y;Y;Y;;
V4.4;Verify that direct object references are protected, such that only authorized objects or data are accessible to each user (for example, protect against direct object reference tampering).;Y;Y;Y;;
V4.5;Verify that directory browsing is disabled unless deliberately desired.;Y;Y;Y;;
V4.8;Verify that access controls fail securely.;Y;Y;Y;;
V4.9;Verify that the same access control rules implied by the presentation layer are enforced on the server side for that user role, such that controls and parameters cannot be re-enabled or re-added from higher privilege users.;N;Y;Y;;
V4.10;Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.;N;Y;Y;;
V4.11;Verify that all access controls are enforced on the server side.;Y;Y;Y;;
V4.12;Verify that there is a centralized mechanism (including libraries that call external authorization services) for protecting access to each type of protected resource.;N;N;Y;;
V4.14;Verify that all access control decisions are be logged and all failed decisions are logged.;N;Y;Y;;
V4.16;Verify that the application or framework generates strong random anti-CSRF tokens unique to the user as part of all high value transactions or accessing sensitive data, and that the application verifies the presence of this token with the proper value for the current user when processing these requests.;Y;Y;Y;;
V4.17;Aggregate access control protection � verify the system can protect against aggregate or continuous access of secured functions, resources, or data. For example, possibly by the use of a resource governor to limit the number of edits per hour or to prevent the entire database from being scraped by an individual user.;N;Y;Y;;
V5.1;Verify that the runtime environment is not susceptible to buffer overflows, or that security controls prevent buffer overflows.;Y;Y;Y;;
V5.3;Verify that all input validation failures result in input rejection.;Y;Y;Y;;
V5.4;Verify that a character set, such as UTF-8, is specified for all sources of input.;N;Y;Y;;
V5.5;Verify that all input validation or encoding routines are performed and enforced on the server side.;Y;Y;Y;;
V5.6;Verify that a single input validation control is used by the application for each type of data that is accepted.;N;N;Y;;
V5.7;Verify that all input validation failures are logged.;N;N;Y;;
V5.8;Verify that all input data is canonicalized for all downstream decoders or interpreters prior to validation.;N;Y;Y;;
V5.10;Verify that the runtime environment is not susceptible to SQL Injection, or that security controls prevent SQL Injection.;Y;Y;Y;;
V5.11;Verify that the runtime environment is not susceptible to LDAP Injection, or that security controls prevent LDAP Injection.;Y;Y;Y;;
V5.12;Verify that the runtime environment is not susceptible to OS Command Injection, or that security controls prevent OS Command Injection.;Y;Y;Y;;
V5.13;Verify that the runtime environment is not susceptible to XML External Entity attacks or that security controls prevents XML External Entity attacks.;Y;Y;Y;;
V5.14;Verify that the runtime environment is not susceptible to XML Injections or that security controls prevents XML Injections.;Y;Y;Y;;
V5.16;Verify that all untrusted data that are output to HTML (including HTML elements, HTML attributes, JavaScript data values, CSS blocks, and URI attributes) are properly escaped for the applicable context.;Y;Y;Y;;
V5.17;If the application framework allows automatic mass parameter assignment (also called automatic variable binding) from the inbound request to a model, verify that security sensitive fields such as �accountBalance�, �role� or �password� are protected from malicious automatic binding.;N;Y;Y;;
V5.18;Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, environment, etc.);N;Y;Y;;
V5.19;Verify that for each type of output encoding/escaping performed by the application, there is a single security control for that type of output for the intended destination.;N;N;Y;;
V7.1;Verify that all cryptographic functions used to protect secrets from the application user are implemented server side.;N;Y;Y;;
V7.2;Verify that all cryptographic modules fail securely.;N;Y;Y;;
V7.3;Verify that access to any master secret(s) is protected from unauthorized access (A master secret is an application credential stored as plaintext on disk that is used to protect access to security configuration information).;N;Y;Y;;
V7.6;Verify that all random numbers, random file names, random GUIDs, and random strings are generated using the cryptographic module�s approved random number generator when these random values are intended to be unguessable by an attacker.;N;Y;Y;;
V7.7;Verify that cryptographic modules used by the application have been validated against FIPS 140-2 or an equivalent standard.;N;N;Y;;
V7.8;Verify that cryptographic modules operate in their approved mode according to their published security policies.;N;N;Y;;
V7.9;Verify that there is an explicit policy for how cryptographic keys are managed (e.g., generated, distributed, revoked, expired). Verify that this policy is properly enforced.;N;Y;Y;;
V8.1;Verify that the application does not output error messages or stack traces containing sensitive data that could assist an attacker, including session id and personal information.;Y;Y;Y;;
V8.2;Verify that all error handling is performed on trusted devices;N;Y;Y;;
V8.3;Verify that all logging controls are implemented on the server.;N;Y;Y;;
V8.4;Verify that error handling logic in security controls denies access by default.;N;Y;Y;;
V8.5;Verify security logging controls provide the ability to log both success and failure events that are identified as security-relevant.;N;Y;Y;;
