ASVS Item #;Requirement;Exigence;Niveau 1;Niveau 2;Niveau 3;Test terminé?;Résultat
V2.1;Verify all pages and resources require authentication except those specifically intended to be public (Principle of complete mediation).;Vérifier que toutes les pages et ressources requièrent une authentification à l’exception de celles spécifiquement désignées comme publiques (principe de .médiation complète);Y;Y;Y;;
V2.2;Verify all password fields do not echo the user’s password when it is entered.;Vérifier que tous les champs de saisie de mot de passe ne réfléchissent pas le mot de passe de l’utilisateur lorsqu’il est saisi.;Y;Y;Y;;
V2.4;Verify all authentication controls are enforced on the server side.;Vérifier que tous les contrôles d’authentification sont mis en place du côté serveur.;Y;Y;Y;;
V2.5;Verify all authentication controls (including libraries that call external authentication services) have a centralized implementation.;Vérifier que tous les contrôles d’authentification (incluant les bibliothèques qui appellent des services d’authentification tiers) ont une implémentation centralisée.;N;N;Y;;
V2.6;Verify all authentication controls fail securely to ensure attackers cannot log in.;Vérifier que tous les contrôles d’authentification échouent en toute sécurité pour assurer que des attaquants ne peuvent pas s’authentifier.;Y;Y;Y;;
V2.7;Verify password entry fields allow or encourage the use of passphrases, and do not prevent long passphrases or highly complex passwords being entered, and provide a sufficient minimum strength to protect against the use of commonly chosen passwords.;Vérifier que tous les champs de saisie de mot de passe permettent ou encouragent l’utilisation de passphrases, et n’empêchent pas de longues passphrases ou des mots de passe très complexes d’être saisis, et fournissent une rigueur minimum suffisante pour prévenir l’utilisation de mots de passe couramment choisis.;N;Y;Y;;
V2.8;Verify all account identity authentication functions (such as registration, update profile, forgot username, forgot password, disabled / lost token, help desk or IVR) that might regain access to the account are at least as resistant to attack as the primary authentication mechanism.;Vérifier que toutes les fonctions d’authentification de l’identité d’un compte utilisateur (comme l’enregistrement, mise à jour du profil, nom d’utilisateur oublié, mot de passe perdu, token désactivé / perdu, assistance or IVR) qui permettraient de retrouver l’accès au compte sont au moins aussi résistantes aux attaques que le mécanisme d’authentification principal.;N;Y;Y;;
V2.9;Verify users can safely change their credentials using a mechanism that is at least as resistant to attack as the primary authentication mechanism.;Vérifier que les utilisateurs peuvent changer leurs identifiants en utilisant un mécanisme au moins aussi résistant aux attaques que le mécanisme d’authentification principal.;N;Y;Y;;
V2.12;Verify that all authentication decisions are logged. This should include requests with missing required information, needed for security investigations.;Vérifier que toute décision d’authentification est journalisée. Cela devrait inclure les requêtes avec des informations requises manquantes, nécessaires aux enquêtes de sécurité.;N;Y;Y;;
V2.13;Verify that account passwords are salted using a salt that is unique to that account (e.g., internal user ID, account creation) and use bcrypt, scrypt or PBKDF2 before storing the password.;Vérifier que les mots de passe utilisateurs sont salés en utilisant un sel unique pour chaque compte (par ex. ID interne d’utilisateur, création du compte) et utilise bcrypt, scrypt ou PBKDF2 avant de stocker le mot de passe.;N;Y;Y;;
