ID,Detailed Verification Requirement,Level 1,Level 2,Level 3,Since
V1,"Architecture, design and threat modelling",,,,
1.1,Verify that all application components are identified and are known to be needed.,✓,✓,✓,1
1.2,"Verify that all components, such as libraries, modules, and external systems, that are not part of the application but that the application relies on to operate are identified.",,✓,✓,1
1.3,Verify that a high-level architecture for the application has been defined.,,✓,✓,1
1.4,Verify that all application components are defined in terms of the business functions and/or security functions they provide.,,,✓,1
1.5,"Verify that all components that are not part of the application but that the application relies on to operate are defined in terms of the functions, and/or security functions, they provide.",,,✓,1
1.6,"Verify that a threat model for the target application has been produced and covers off risks associated with Spoofing, Tampering, Repudiation, Information Disclosure, and Elevation of privilege (STRIDE).",,,✓,1
1.7,Verify all security controls (including libraries that call external security services) have a centralized implementation.,,,✓,1
1.8,"Verify that components are segregated from each other via a defined security control, such as network segmentation, firewall rules, or cloud based security groups.",,✓,✓,3
1.9,"Verify the application has a clear separation between the data layer, controller layer and the display layer, such that security decisions can be enforced on trusted systems.",,✓,✓,3
1.10,"Verify that there is no sensitive business logic, secret keys or other proprietary information in client side code.",,✓,✓,3
V2,Authentication verification requirements,,,,
2.1,Verify all pages and resources by default require authentication except those specifically intended to be public (Principle of complete mediation).,✓,✓,✓,1
2.2,Verify that all password fields do not echo the user’s password when it is entered.,✓,✓,✓,1
2.4,Verify all authentication controls are enforced on the server side.,✓,✓,✓,1
2.6,Verify all authentication controls fail securely to ensure attackers cannot log in.,✓,✓,✓,1
2.7,"Verify password entry fields allow, or encourage, the use of passphrases, and do not prevent long passphrases/highly complex passwords being entered.",✓,✓,✓,3
2.8,"Verify all account identity authentication functions (such as update profile, forgot password, disabled / lost token, help desk or IVR) that might regain access to the account are at least as resistant to attack as the primary authentication mechanism.",✓,✓,✓,2
2.9,"Verify that the changing password functionality includes the old password, the new password, and a password confirmation.",✓,✓,✓,1
2.12,Verify that all suspicious authentication decisions are logged. This should include requests with relevant metadata needed for security investigations.,,✓,✓,2
2.13,Verify that account passwords make use of a sufficient strength encryption routine and that it withstands brute force attack against the encryption routine.,,✓,✓,3
2.16,Verify that credentials are transported using a suitable encrypted link and that all pages/functions that require a user to enter credentials are done so using an encrypted link.,✓,✓,✓,3
2.17,Verify that the forgotten password function and other recovery paths do not reveal the current password and that the new password is not sent in clear text to the user.,✓,✓,✓,2
2.18,"Verify that information enumeration is not possible via login, password reset, or forgot account functionality.",✓,✓,✓,2
2.19,Verify there are no default passwords in use for the application framework or any components used by the application (such as “admin/password”).,✓,✓,✓,2
2.20,Verify that request throttling is in place to prevent automated attacks against common authentication attacks such as brute force attacks or denial of service attacks.,✓,✓,✓,3
2.21,Verify that all authentication credentials for accessing services external to the application are encrypted and stored in a protected location.,,✓,✓,2
2.22,"Verify that forgotten password and other recovery paths use a soft token, mobile push, or an offline recovery mechanism.",✓,✓,✓,3
2.23,"Verify that account lockout is divided into soft and hard lock status, and these are not mutually exclusive. If an account is temporarily soft locked out due to a brute force attack, this should not reset the hard lock status.",,✓,✓,3
2.24,"Verify that if knowledge based questions (also known as ""secret questions"") are required, the questions should be strong enough to protect the application.",✓,✓,✓,2
2.25,Verify that the system can be configured to disallow the use of a configurable number of previous passwords.,,✓,✓,2
2.26,"Verify re-authentication, step up or adaptive authentication, two factor authentication, or transaction signing is required before any application-specific sensitive operations are permitted as per the risk profile of the application.",,✓,✓,2
2.27,Verify that measures are in place to block the use of commonly chosen passwords and weak passphrases.,✓,✓,✓,3
2.28,"Verify that all authentication challenges, whether successful or failed, should respond in the same average response time.",,,✓,3
2.29,"Verify that secrets, API keys, and passwords are not included in the source code, or online source code repositories.",,,✓,3
2.30,"Verify that if an application allows users to authenticate, they use a proven secure authentication mechanism.",✓,✓,✓,3
2.31,"Verify that if an application allows users to authenticate, they can authenticate using two-factor authentication or other strong authentication, or any similar scheme that provides protection against username + password disclosure.",,✓,✓,3
2.32,Verify that administrative interfaces are not accessible to untrusted parties,✓,✓,✓,3
V3,Session management verification requirements,,,,
3.1,"Verify that there is no custom session manager, or that the custom session manager is resistant against all common session management attacks.",✓,✓,✓,1
3.2,Verify that sessions are invalidated when the user logs out.,✓,✓,✓,1
3.3,Verify that sessions timeout after a specified period of inactivity.,✓,✓,✓,1
3.4,Verify that sessions timeout after an administratively-configurable maximum time period regardless of activity (an absolute timeout).,,,✓,1
3.5,Verify that all pages that require authentication have easy and visible access to logout functionality.,✓,✓,✓,1
3.6,"Verify that the session id is never disclosed in URLs, error messages, or logs. This includes verifying that the application does not support URL rewriting of session cookies.",✓,✓,✓,1
3.7,Verify that all successful authentication and re-authentication generates a new session and session id.,✓,✓,✓,1
3.10,Verify that only session ids generated by the application framework are recognized as active by the application.,,✓,✓,1
3.11,"Verify that session ids are sufficiently long, random and unique across the correct active session base.",✓,✓,✓,1
3.12,"Verify that session ids stored in cookies have their path set to an appropriately restrictive value for the application, and authentication session tokens additionally set the “HttpOnly” and “secure” attributes",✓,✓,✓,3
3.16,Verify that the application limits the number of active concurrent sessions.,✓,✓,✓,3
3.17,Verify that an active session list is displayed in the account profile or similar of each user. The user should be able to terminate any active session.,✓,✓,✓,3
3.18,Verify the user is prompted with the option to terminate all other active sessions after a successful change password process.,✓,✓,✓,3
V4,Access control verification requirements,,,,
4.1,"Verify that the principle of least privilege exists - users should only be able to access functions, data files, URLs, controllers, services, and other resources, for which they possess specific authorization. This implies protection against spoofing and elevation of privilege.",✓,✓,✓,1
4.4,"Verify that access to sensitive records is protected, such that only authorized objects or data is accessible to each user (for example, protect against users tampering with a parameter to see or alter another user's account).",✓,✓,✓,1
4.5,"Verify that directory browsing is disabled unless deliberately desired. Additionally, applications should not allow discovery or disclosure of file or directory metadata, such as Thumbs.db, .DS_Store, .git or .svn folders.",✓,✓,✓,1
4.8,Verify that access controls fail securely.,✓,✓,✓,1
4.9,Verify that the same access control rules implied by the presentation layer are enforced on the server side.,✓,✓,✓,1
4.10,Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.,,✓,✓,1
4.11,Verify that there is a centralized mechanism (including libraries that call external authorization services) for protecting access to each type of protected resource.,,,✓,1
4.12,Verify that all access control decisions can be logged and all failed decisions are logged.,,✓,✓,2
4.13,Verify that the application or framework uses strong random anti-CSRF tokens or has another transaction protection mechanism.,✓,✓,✓,2
4.14,"Verify the system can protect against aggregate or continuous access of secured functions, resources, or data. For example, consider the use of a resource governor to limit the number of edits per hour or to prevent the entire database from being scraped by an individual user.",,✓,✓,2
4.15,"Verify the application has additional authorization (such as step up or adaptive authentication) for lower value systems, and / or segregation of duties for high value applications to enforce anti-fraud controls as per the risk of application and past fraud.",,✓,✓,3
4.16,Verify that the application correctly enforces context-sensitive authorisation so as to not allow unauthorised manipulation by means of parameter tampering.,✓,✓,✓,3
V5,Malicious input handling verification requirements,,,,
5.1,"Verify that the runtime environment is not susceptible to buffer overflows, or that security controls prevent buffer overflows.",✓,✓,✓,1
5.3,Verify that server side input validation failures result in request rejection and are logged.,✓,✓,✓,1
5.5,Verify that input validation routines are enforced on the server side.,✓,✓,✓,1
5.6,Verify that a single input validation control is used by the application for each type of data that is accepted.,,,✓,1
5.10,"Verify that all SQL queries, HQL, OSQL, NOSQL and stored procedures, calling of stored procedures are protected by the use of prepared statements or query parameterization, and thus not susceptible to SQL injection",✓,✓,✓,2
5.11,"Verify that the application is not susceptible to LDAP Injection, or that security controls prevent LDAP Injection.",✓,✓,✓,2
5.12,"Verify that the application is not susceptible to OS Command Injection, or that security controls prevent OS Command Injection.",✓,✓,✓,2
5.13,Verify that the application is not susceptible to Remote File Inclusion (RFI) or Local File Inclusion (LFI) when content is used that is a path to a file.,✓,✓,✓,3
5.14,"Verify that the application is not susceptible to common XML attacks, such as XPath query tampering, XML External Entity attacks, and XML injection attacks.",✓,✓,✓,2
5.15,"Ensure that all string variables placed into HTML or other web client code is either properly contextually encoded manually, or utilize templates that automatically encode contextually to ensure the application is not susceptible to reflected, stored and DOM Cross-Site Scripting (XSS) attacks.",✓,✓,✓,2
5.16,"If the application framework allows automatic mass parameter assignment (also called automatic variable binding) from the inbound request to a model, verify that security sensitive fields such as “accountBalance”, “role” or “password” are protected from malicious automatic binding.",,✓,✓,2
5.17,"Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, environment, etc.)",,✓,✓,2
5.18,"Verify that client side validation is used as a second line of defense, in addition to server side validation.",,✓,✓,3
5.19,"Verify that all input data is validated, not only HTML form fields but all sources of input such as REST calls, query parameters, HTTP headers, cookies, batch files, RSS feeds, etc; using positive validation (whitelisting), then lesser forms of validation such as greylisting (eliminating known bad strings), or rejecting bad inputs (blacklisting).",,✓,✓,3
5.20,"Verify that structured data is strongly typed and validated against a defined schema including allowed characters, length and pattern (e.g. credit card numbers or telephone, or validating that two related fields are reasonable, such as validating suburbs and zip or post codes match).",,✓,✓,3
5.21,"Verify that unstructured data is sanitized to enforce generic safety measures such as allowed characters and length, and characters potentially harmful in given context should be escaped (e.g. natural names with Unicode or apostrophes, such as ねこ or O'Hara)",,✓,✓,3
5.22,Make sure untrusted HTML from WYSIWYG editors or similar are properly sanitized with an HTML sanitizer and handle it appropriately according to the input validation task and encoding task.,✓,✓,✓,3
5.23,"For auto-escaping template technology, if UI escaping is disabled, ensure that HTML sanitization is enabled instead.",,✓,✓,3
5.24,"Verify that data transferred from one DOM context to another, uses safe JavaScript methods, such as using .innerText and .val.",,✓,✓,3
5.25,"Verify when parsing JSON in browsers, that JSON.parse is used to parse JSON on the client. Do not use eval() to parse JSON on the client.",,✓,✓,3
5.26,"Verify that authenticated data is cleared from client storage, such as the browser DOM, after the session is terminated.",,✓,✓,3
V6,Output encoding / escaping - This section was incorporated into V5 in Application Security Verification Standard 2.0. ASVS requirement 5.16 addresses contextual output encoding to help prevent Cross Site Scripting.,,,,
V7,Cryptography at rest verification requirements,,,,
7.2,"Verify that all cryptographic modules fail securely, and errors are handled in a way that does not enable oracle padding.",✓,✓,✓,1
7.6,"Verify that all random numbers, random file names, random GUIDs, and random strings are generated using the cryptographic module’s approved random number generator when these random values are intended to be not guessable by an attacker.",,✓,✓,1
7.7,Verify that cryptographic algorithms used by the application have been validated against FIPS 140-2 or an equivalent standard.,✓,✓,✓,1
7.8,Verify that cryptographic modules operate in their approved mode according to their published security policies.,,,✓,1
7.9,"Verify that there is an explicit policy for how cryptographic keys are managed (e.g., generated, distributed, revoked, and expired). Verify that this key lifecycle is properly enforced.",,✓,✓,1
7.11,"Verify that all consumers of cryptographic services do not have direct access to key material. Isolate cryptographic processes, including master secrets and consider the use of a hardware key vault (HSM).",,,✓,3
7.12,Personally Identifiable Information should be stored encrypted at rest and ensure that communication goes via protected channels.,,✓,✓,3
7.13,"Verify that where possible, keys and secrets are zeroed when destroyed.",,✓,✓,3
7.14,"Verify that all keys and passwords are replaceable, and are generated or replaced at installation time.",,✓,✓,3
7.15,"Verify that random numbers are created with proper entropy even when the application is under heavy load, or that the application degrades gracefully in such circumstances.",,,✓,3
V8,Error handling and logging verification requirements,,,,
8.1,"Verify that the application does not output error messages or stack traces containing sensitive data that could assist an attacker, including session id, software/framework versions and personal information",✓,✓,✓,1
8.2,Verify that error handling logic in security controls denies access by default.,,✓,✓,1
8.3,Verify security logging controls provide the ability to log success and particularly failure events that are identified as security-relevant.,,✓,✓,1
8.4,Verify that each log event includes necessary information that would allow for a detailed investigation of the timeline when an event happens.,,✓,✓,1
8.5,Verify that all events that include untrusted data will not execute as code in the intended log viewing software.,,,✓,1
8.6,Verify that security logs are protected from unauthorized access and modification.,,✓,✓,1
8.7,"Verify that the application does not log sensitive data as defined under local privacy laws or regulations, organizational sensitive data as defined by a risk assessment, or sensitive authentication data that could assist an attacker, including user’s session identifiers, passwords, hashes, or API tokens.",,✓,✓,3
8.8,"Verify that all non-printable symbols and field separators are properly encoded in log entries, to prevent log injection.",,,✓,2
8.9,Verify that log fields from trusted and untrusted sources are distinguishable in log entries.,,,✓,2
8.10,Verify that an audit log or similar allows for non-repudiation of key transactions.,,✓,✓,3
8.11,Verify that security logs have some form of integrity checking or controls to prevent unauthorized modification.,,,✓,3
8.12,Verify that the logs are stored on a different partition than the application is running with proper log rotation.,,,✓,3
V9,Data protection verification requirements,,,,
9.1,"Verify that all forms containing sensitive information have disabled client side caching, including autocomplete features.",✓,✓,✓,1
9.2,"Verify that the list of sensitive data processed by the application is identified, and that there is an explicit policy for how access to this data must be controlled, encrypted and enforced under relevant data protection directives.",,,✓,1
9.3,"Verify that all sensitive data is sent to the server in the HTTP message body or headers (i.e., URL parameters are never used to send sensitive data).",✓,✓,✓,1
9.4,"Verify that the application sets appropriate anti-caching headers as per the risk of the application, such as the following:
Expires: Tue, 03 Jul 2001 06:00:00 GMT
Last-Modified: {now} GMT
Cache-Control: no-store, no-cache, must-revalidate, max-age=0
Cache-Control: post-check=0, pre-check=0
Pragma: no-cache",✓,✓,✓,1
9.5,"Verify that on the server, all cached or temporary copies of sensitive data stored are protected from unauthorized access or purged/invalidated after the authorized user accesses the sensitive data.",,✓,✓,1
9.6,Verify that there is a method to remove each type of sensitive data from the application at the end of the required retention policy.,,,✓,1
9.7,"Verify the application minimizes the number of parameters in a request, such as hidden fields, Ajax variables, cookies and header values.",,✓,✓,2
9.8,Verify the application has the ability to detect and alert on abnormal numbers of requests for data harvesting for an example screen scraping.,,,✓,2
9.9,"Verify that data stored in client side storage - such as HTML5 local storage, session storage, IndexedDB, regular cookies or Flash cookies - does not contain sensitive or PII).",✓,✓,✓,3
9.10,"Verify accessing sensitive data is logged, if the data is collected under relevant data protection directives or where logging of accesses is required.",,✓,✓,3
9.11,Verify that sensitive data is rapidly sanitized from memory as soon as it is no longer needed and handled in accordance to functions and techniques supported by the framework/library/operating system.,,✓,✓,3
V10,Communications security verification requirements,,,,
10.1,"Verify that a path can be built from a trusted CA to each Transport Layer Security (TLS) server certificate, and that each server certificate is valid.",✓,✓,✓,1
10.3,"Verify that TLS is used for all connections (including both external and backend connections) that are authenticated or that involve sensitive data or functions, and does not fall back to insecure or unencrypted protocols. Ensure the strongest alternative is the preferred algorithm.",✓,✓,✓,3
10.4,Verify that backend TLS connection failures are logged.,,,✓,1
10.5,Verify that certificate paths are built and verified for all client certificates using configured trust anchors and revocation information.,,,✓,1
10.6,Verify that all connections to external systems that involve sensitive information or functions are authenticated.,,✓,✓,1
10.8,Verify that there is a single standard TLS implementation that is used by the application that is configured to operate in an approved mode of operation.,,,✓,1
10.10,"Verify that TLS certificate public key pinning is implemented with production and backup public keys. For more information, please see the references below.",,,✓,3
10.11,"Verify that HTTP Strict Transport Security headers are included on all requests and for all subdomains, such as Strict-Transport-Security: max-age=15724800; includeSubdomains",✓,✓,✓,3
10.12,Verify that production website URL has been submitted to preloaded list of Strict Transport Security domains maintained by web browser vendors. Please see the references below.,,,✓,3
10.13,Ensure forward secrecy ciphers are in use to mitigate passive attackers recording traffic.,✓,✓,✓,3
10.14,"Verify that proper certification revocation, such as Online Certificate Status Protocol (OSCP) Stapling, is enabled and configured.",✓,✓,✓,3
10.15,"Verify that only strong algorithms, ciphers, and protocols are used, through all the certificate hierarchy, including root and intermediary certificates of your selected certifying authority.",✓,✓,✓,3
10.16,"Verify that the TLS settings are in line with current leading practice, particularly as common configurations, ciphers, and algorithms become insecure.",✓,✓,✓,3
V11,HTTP security configuration verification requirements,,,,
